File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\QualityCriteria.java,290,75,50,14,27,1,188,622,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\SessionSatus.java,108,10,9,0,9,1,89,381,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\Snapshot.java,191,18,17,0,17,1,156,651,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\Task.java,163,15,14,0,14,1,134,564,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\User.java,245,22,21,0,21,1,202,861,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\UserList.java,53,7,6,0,6,1,40,146,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\CheckInMilestoneImpl.java,323,151,101,30,31,1,141,410,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\ConnectionImpl.java,1112,488,326,102,90,1,534,1596,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\ContainerImpl.java,679,302,205,58,56,1,321,955,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\ContentObjectImpl.java,626,281,193,53,52,1,293,869,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\DataSourceImpl.java,597,266,180,50,52,1,279,831,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\EventImpl.java,464,211,142,42,40,1,213,618,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\FileFunctionStatusImpl.java,757,338,232,66,62,1,357,1073,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\FileImpl.java,389,173,116,34,35,1,181,525,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\FileTypeImpl.java,416,177,121,32,38,1,201,590,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\FolderImpl.java,166,79,51,16,19,1,68,179,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\FunctionImpl.java,538,238,163,45,48,1,252,737,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\GeneralFactoryImpl.java,456,215,150,57,45,1,196,481,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\GeneralPackageImpl.java,1989,921,706,133,220,1,848,2197,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\SessionSatusImpl.java,272,116,77,21,26,1,130,378,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\SnapshotImpl.java,444,197,133,38,39,1,208,602,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\TaskImpl.java,409,187,125,38,36,1,186,533,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\UserImpl.java,534,231,160,40,48,1,255,755,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\impl\UserListImpl.java,158,72,46,13,18,1,68,178,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\util\GeneralAdapterFactory.java,391,150,89,41,29,1,212,1205,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.model\src\general\util\GeneralSwitch.java,428,173,131,54,26,1,229,1309,2,2
C:\Users\Ben\Desktop\Arbeit\__Bachelor\amenity\New\Amenity\com.amenity.workbench\plugin.xml,428,425,0,0,3,0,0,0,0,0
